arch,case,solver,step,t,dt,ch_glm,max_cf_x,max_cf_y,max_speed,max_rho,min_rho,max_p,min_p,max_abs_Bx,max_abs_By,max_abs_Bz,max_abs_psi,divB_L1,divB_max,n_floor_triggered
cpu,orszag_tang,hll,280,1.4962180624e+00,5.0331123340e-03,2.6007703626e+00,1.7140973772e+00,1.7973949371e+00,2.6007703626e+00,6.3284224818e+00,8.5061563462e-01,6.8413699039e+00,2.3159242826e-01,2.2876666260e+00,1.7875633183e+00,0.0000000000e+00,2.1421668775e-01,1.9657540632e+03,9.9769176209e-01,0
cpu,orszag_tang,hll,285,1.5213844550e+00,5.0337659706e-03,2.6004326515e+00,1.7155554188e+00,1.8000914848e+00,2.6004326515e+00,6.2937731753e+00,8.3357363525e-01,6.7720220999e+00,2.2393109390e-01,2.2892669453e+00,1.7850947279e+00,0.0000000000e+00,2.1423937471e-01,1.9614753308e+03,9.7945484921e-01,0
cpu,orszag_tang,hll,290,1.5465550269e+00,5.0352800297e-03,2.5996507270e+00,1.7177404896e+00,1.8028649110e+00,2.5996507270e+00,6.2599253688e+00,8.1719581967e-01,6.8036143026e+00,2.1667494040e-01,2.2908562129e+00,1.7826382845e+00,0.0000000000e+00,2.1811576278e-01,1.9578996343e+03,9.8179337821e-01,0
cpu,orszag_tang,hll,295,1.5717367814e+00,5.0376649395e-03,2.5984200115e+00,1.7202193339e+00,1.8057198411e+00,2.5984200115e+00,6.2276638461e+00,8.0148025700e-01,6.9471443807e+00,2.0979219231e-01,2.2924774697e+00,1.7821247543e+00,0.0000000000e+00,2.2035268316e-01,1.9502646681e+03,9.9425137596e-01,0
cpu,orszag_tang,hll,300,1.5969318430e+00,5.0413547182e-03,2.5965182221e+00,1.7229439138e+00,1.8089946692e+00,2.5965182221e+00,6.1976748700e+00,7.8635017874e-01,7.0670340720e+00,2.0326862918e-01,2.2947983106e+00,1.7823506514e+00,0.0000000000e+00,2.2408928643e-01,1.9384568814e+03,9.8620974796e-01,0
cpu,orszag_tang,hll,305,1.6221462700e+00,5.0452546777e-03,2.5945111250e+00,1.7259510682e+00,1.8127670099e+00,2.5945111250e+00,6.1705196110e+00,7.7183146726e-01,7.1543320076e+00,1.9703631044e-01,2.2972202756e+00,1.7830205383e+00,0.0000000000e+00,2.2731913858e-01,1.9254301141e+03,9.7302766959e-01,0
cpu,orszag_tang,hll,310,1.6473829198e+00,5.0504825737e-03,2.5918254739e+00,1.7293462645e+00,1.8166092709e+00,2.5918254739e+00,6.1470250294e+00,7.5765936061e-01,7.1969784464e+00,1.9101241075e-01,2.3002051363e+00,1.7841359577e+00,0.0000000000e+00,2.2840112672e-01,1.9133000661e+03,9.5589327311e-01,0
cpu,orszag_tang,hll,315,1.6726472198e+00,5.0563721009e-03,2.5888065848e+00,1.7335476301e+00,1.8204848735e+00,2.5888065848e+00,6.1281297221e+00,7.4377124351e-01,7.1910082692e+00,1.8522673332e-01,2.3033545254e+00,1.7869513713e+00,0.0000000000e+00,2.3110916950e-01,1.9011925885e+03,9.3709694956e-01,0
cpu,orszag_tang,hll,320,1.6979416634e+00,5.0627728329e-03,2.5855336240e+00,1.7380989876e+00,1.8242956933e+00,2.5855336240e+00,6.1147182877e+00,7.3052212835e-01,7.1408907463e+00,1.7978028024e-01,2.3065558134e+00,1.7901446306e+00,0.0000000000e+00,2.2910742833e-01,1.8870613499e+03,9.3154637576e-01,0
cpu,orszag_tang,hll,325,1.7232702367e+00,5.0700929430e-03,2.5818006765e+00,1.7425765636e+00,1.8280192306e+00,2.5818006765e+00,6.1070518842e+00,7.1795148430e-01,7.0534158843e+00,1.7468723531e-01,2.3096186149e+00,1.7934072460e+00,0.0000000000e+00,2.3140554546e-01,1.8753256383e+03,9.2908852202e-01,0
cpu,orszag_tang,hll,330,1.7486353914e+00,5.0774486990e-03,2.5780603933e+00,1.7467551197e+00,1.8316236921e+00,2.5780603933e+00,6.1052902457e+00,7.0605610005e-01,6.9544133461e+00,1.6992347764e-01,2.3124595992e+00,1.7968081508e+00,0.0000000000e+00,2.2711597414e-01,1.8639839292e+03,9.1042959116e-01,0
cpu,orszag_tang,hll,335,1.7740385347e+00,5.0853413555e-03,2.5740591388e+00,1.7506473268e+00,1.8350598538e+00,2.5740591388e+00,6.1099413679e+00,6.9500764207e-01,6.8383478041e+00,1.6556979875e-01,2.3150220170e+00,1.8003733365e+00,0.0000000000e+00,2.2836372015e-01,1.8521277040e+03,9.0677829010e-01,0
cpu,orszag_tang,hll,340,1.7994806030e+00,5.0928822862e-03,2.5702477800e+00,1.7543038548e+00,1.8385381540e+00,2.5702477800e+00,6.1204137790e+00,6.8433388022e-01,6.7029657745e+00,1.6147405534e-01,2.3172138105e+00,1.8041150979e+00,0.0000000000e+00,2.3155591551e-01,1.8399472398e+03,8.8335260855e-01,0
cpu,orszag_tang,hll,345,1.8249585257e+00,5.0994933207e-03,2.5669156849e+00,1.7577298586e+00,1.8419595941e+00,2.5669156849e+00,6.1361431857e+00,6.7318723353e-01,6.5513252437e+00,1.5717535734e-01,2.3190040922e+00,1.8093240750e+00,0.0000000000e+00,2.3428056804e-01,1.8254497660e+03,8.6463649761e-01,0
cpu,orszag_tang,hll,350,1.8504694820e+00,5.1062150725e-03,2.5635366321e+00,1.7610249175e+00,1.8451731966e+00,2.5635366321e+00,6.1569832167e+00,6.6395004512e-01,6.4379238301e+00,1.5361980546e-01,2.3204161243e+00,1.8145394656e+00,0.0000000000e+00,2.3686335687e-01,1.8106440524e+03,8.3852337288e-01,0
cpu,orszag_tang,hll,355,1.8760161159e+00,5.1145251044e-03,2.5593714221e+00,1.7642775855e+00,1.8482259231e+00,2.5593714221e+00,6.1832666880e+00,6.5835772846e-01,6.4789341384e+00,1.5149660168e-01,2.3215957184e+00,1.8195259664e+00,0.0000000000e+00,2.3874308089e-01,1.7966754325e+03,8.3572748879e-01,0
cpu,orszag_tang,hll,360,1.9016097135e+00,5.1252787981e-03,2.5540014320e+00,1.7675771681e+00,1.8511505733e+00,2.5540014320e+00,6.2138564630e+00,6.5734408947e-01,6.5281708846e+00,1.5119066776e-01,2.3228307579e+00,1.8240883942e+00,0.0000000000e+00,2.4021523046e-01,1.7817985326e+03,8.3208420428e-01,0
cpu,orszag_tang,hll,365,1.9272582007e+00,5.1369030022e-03,2.5482220288e+00,1.7708882431e+00,1.8539410224e+00,2.5482220288e+00,6.2468522379e+00,6.6389289566e-01,6.5822851342e+00,1.5394546900e-01,2.3243348851e+00,1.8282549080e+00,0.0000000000e+00,2.4928105685e-01,1.7700405488e+03,8.3004547255e-01,0
cpu,orszag_tang,hll,370,1.9529710337e+00,5.1518805231e-03,2.5408138506e+00,1.7741444732e+00,1.8567221262e+00,2.5408138506e+00,6.2810835958e+00,6.7681572847e-01,6.6391786612e+00,1.5929991130e-01,2.3257303488e+00,1.8320904504e+00,0.0000000000e+00,2.5926266864e-01,1.7617297813e+03,8.2564884918e-01,0
