phase,tag,x_bx,x_by,x_lb,y_bx,y_by,y_lb,repeat,measured_steps,wall_ms,ms_per_step,x_ms_per_step,y_ms_per_step,state_hash,correctness,binary
y,y_x16x8_lb3_y32x4_lb0,16,8,3,32,4,0,1,500,1690.480888000,3.380961776,1.396133890,1.786953720,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y32x4_lb0/main_gpu
y,y_x16x8_lb3_y32x4_lb0,16,8,3,32,4,0,2,500,1688.988529000,3.377977058,1.395347458,1.785075703,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y32x4_lb0/main_gpu
y,y_x16x8_lb3_y32x4_lb0,16,8,3,32,4,0,3,500,1689.018986000,3.378037972,1.395482625,1.785530357,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y32x4_lb0/main_gpu
y,y_x16x8_lb3_y32x4_lb0,16,8,3,32,4,0,4,500,1690.137571000,3.380275142,1.396295681,1.786071034,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y32x4_lb0/main_gpu
y,y_x16x8_lb3_y32x4_lb0,16,8,3,32,4,0,5,500,1688.695347000,3.377390694,1.395937280,1.784518649,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y32x4_lb0/main_gpu
y,y_x16x8_lb3_y32x4_lb2,16,8,3,32,4,2,1,500,1694.854644000,3.389709288,1.396213762,1.796020230,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y32x4_lb2/main_gpu
y,y_x16x8_lb3_y32x4_lb2,16,8,3,32,4,2,2,500,1694.678532000,3.389357064,1.395914752,1.795915782,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y32x4_lb2/main_gpu
y,y_x16x8_lb3_y32x4_lb2,16,8,3,32,4,2,3,500,1696.729080000,3.393458160,1.398196224,1.797148676,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y32x4_lb2/main_gpu
y,y_x16x8_lb3_y32x4_lb2,16,8,3,32,4,2,4,500,1695.854826000,3.391709652,1.397403649,1.796085764,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y32x4_lb2/main_gpu
y,y_x16x8_lb3_y32x4_lb2,16,8,3,32,4,2,5,500,1694.713738000,3.389427476,1.395542019,1.796120583,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y32x4_lb2/main_gpu
y,y_x16x8_lb3_y32x4_lb3,16,8,3,32,4,3,1,500,1873.880459000,3.747760918,1.399728129,2.149318634,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y32x4_lb3/main_gpu
